Crop,Temperature (°C),Humidity (%),Rainfall (mm),Soil Type,Soil pH,Soil Moisture (%),Wind Speed (km/h),Solar Radiation (W/m²),Weather Condition,Precipitation (mm),Evapotranspiration (ET),Growth Stage,Kc,Water Requirement (mm/day)
Cotton,28.3,69.8,37.4,Black Soil,6.1,25.2,7.4,224.4,Sunny,3.4,1.22,Flowering,1.05,1.44
Cotton,29.8,62.2,51,Black Soil,6.1,18.9,7.7,294.9,Sunny,2.2,1.48,Fruiting,0.6,1.55
Cotton,27.5,68.2,55.7,Sandy Loam,6.3,26.8,14.7,231.5,Sunny,5.3,1.97,Germination,0.35,2.3
Cotton,27.7,53.2,40.1,Black Soil,6.7,27.7,5.7,262.4,Sunny,6.5,1.36,Vegetative,0.65,1.87
Cotton,26.9,50.4,38.7,Black Soil,6.9,25.5,7.3,274,Dry,7.5,1.57,Flowering,1.05,2.16
Cotton,31.4,54.6,50.4,Sandy Loam,6.9,18.3,10.8,259.3,Dry,5.2,1.91,Fruiting,0.6,2.24
Cotton,28.9,66.6,30.2,Black Soil,6.7,22.2,10.1,276,Dry,2.9,1.61,Germination,0.35,1.74
Cotton,27.4,55.7,33.5,Black Soil,7.2,19.3,13.4,248.9,Dry,8.3,2.07,Vegetative,0.65,2.69
Cotton,31.5,66.4,46.9,Black Soil,6.1,26.1,9.6,230.6,Sunny,4.9,1.54,Flowering,1.05,1.88
Cotton,26,61.5,46.2,Black Soil,7.5,19.2,8.3,232,Dry,10.6,1.42,Fruiting,0.6,2.34
Cotton,26.3,54,58.4,Sandy Loam,7.4,23,10.8,238,Dry,2.7,1.8,Germination,0.35,1.89
Cotton,28.1,58.1,41.4,Black Soil,6.1,21.9,8.9,259.5,Dry,10.4,1.6,Vegetative,0.65,2.48
Cotton,25.4,52.5,58.6,Black Soil,6.6,23.6,7.9,259.9,Dry,7.5,1.55,Flowering,1.05,2.14
Cotton,29.2,61.2,35.3,Black Soil,7.1,19,13.1,265.9,Dry,2.2,1.99,Fruiting,0.6,2.01
Cotton,29.6,62.9,50.1,Black Soil,6.3,21.4,13.6,290.6,Sunny,8.1,2.05,Germination,0.35,2.66
Cotton,28.6,52.7,34.2,Black Soil,6.1,21.2,5.8,273.4,Dry,10.7,1.41,Vegetative,0.65,2.34
Cotton,29.6,60.6,32.9,Sandy Loam,6,19.2,13.5,270.1,Sunny,2.9,2.06,Flowering,1.05,2.14
Cotton,31.7,67.3,57.4,Black Soil,6.1,25.5,13.9,275.5,Sunny,10.3,2.01,Fruiting,0.6,2.84
Cotton,31,60.4,47.7,Black Soil,6.6,26.4,11,272.5,Dry,10.8,1.83,Germination,0.35,2.73
Cotton,27.3,55.3,31.4,Sandy Loam,7.5,20.5,15,264.2,Sunny,5.2,2.25,Vegetative,0.65,2.54
Cotton,30.7,61,42.8,Sandy Loam,6,20,7.9,243.5,Dry,9.9,1.47,Flowering,1.05,2.31
Cotton,30.9,69.6,56.1,Sandy Loam,6.9,27.3,6.5,232.3,Dry,8.3,1.17,Fruiting,0.6,1.88
Cotton,28.6,67.7,38.1,Sandy Loam,7,24.5,12.9,251.2,Dry,10,1.84,Germination,0.35,2.66
Cotton,30.7,64.8,33.9,Sandy Loam,7.5,20.9,9.3,259.7,Dry,9,1.56,Vegetative,0.65,2.3
Cotton,30.4,69.2,37.9,Sandy Loam,7.4,24.4,13,249,Sunny,9,1.84,Flowering,1.05,2.56
Cotton,27.6,63,32.1,Sandy Loam,7.1,23.8,7.3,266.7,Dry,10,1.36,Fruiting,0.6,2.22
Cotton,26.6,50.7,44.3,Sandy Loam,6.9,27.6,12.8,300,Sunny,11.7,2.15,Germination,0.35,3.1
Cotton,27.6,67.8,47,Sandy Loam,6.7,19.2,6.2,249.2,Dry,5.7,1.15,Vegetative,0.65,1.6
Cotton,30.9,51.6,57.8,Sandy Loam,6.1,24.3,12.7,247.5,Dry,7.6,2.12,Flowering,1.05,2.67
Cotton,30.8,58.6,36.7,Black Soil,7.3,21,12.2,286,Dry,7.9,2,Fruiting,0.6,2.59
Cotton,27.1,58.6,31.3,Black Soil,6.9,25.2,14.5,278.8,Dry,4,2.16,Germination,0.35,2.34
Cotton,31.7,68.7,35.4,Sandy Loam,6.8,25.9,12.9,257.2,Dry,8.8,1.86,Vegetative,0.65,2.55
Cotton,31.1,66.1,41.1,Black Soil,6.3,19,14.6,245.3,Dry,10.5,2.06,Flowering,1.05,2.9
Cotton,26,55.7,35.6,Sandy Loam,7.2,18.5,10.4,285,Sunny,7.9,1.79,Fruiting,0.6,2.4
Cotton,28.6,54.9,36.3,Black Soil,6.4,21.9,6.8,270.1,Dry,11.5,1.47,Germination,0.35,2.47
Cotton,27.6,51.5,54.4,Sandy Loam,7.2,27.8,5.7,241.9,Sunny,8.1,1.36,Vegetative,0.65,2.03
Cotton,31.7,55,30.2,Black Soil,7.2,27.6,10.2,259.3,Sunny,11.1,1.84,Flowering,1.05,2.77
Cotton,26.1,58.4,53.1,Sandy Loam,7.5,27.4,8.2,295.5,Dry,5.4,1.54,Fruiting,0.6,1.93
Cotton,30.4,51.9,52.9,Black Soil,6.4,22.1,13.9,234.7,Dry,11.6,2.21,Germination,0.35,3.15
Cotton,31.1,56.9,42.5,Sandy Loam,6.5,24.6,7.5,226.1,Dry,9.4,1.48,Vegetative,0.65,2.27
Cotton,30.2,63.4,33.5,Sandy Loam,6.4,24.2,12.6,267.4,Sunny,7.1,1.92,Flowering,1.05,2.44
Cotton,29.6,66,37.8,Black Soil,7,18.1,13.9,262.3,Sunny,7.3,1.99,Fruiting,0.6,2.52
Groundnut,29.2,67.2,62.9,Red Soil,6.6,25.9,6.7,262.5,Sunny,6.3,1.24,Germination,0.3,1.87
Groundnut,22.5,61.2,76.5,Sandy Loam,6,28.4,10.7,218.7,Partly Cloudy,15.6,1.6,Vegetative,0.75,3.16
Groundnut,29.7,66.8,73.1,Sandy Loam,6.5,22.6,5.2,254.5,Sunny,6.6,1.1,Flowering,1.05,1.76
Groundnut,27.2,61.3,44.2,Sandy Loam,5.9,27.4,10.7,255.7,Partly Cloudy,9.1,1.71,Fruiting,0.7,2.62
Groundnut,23.9,73,68.2,Sandy Loam,5.8,27.6,4.4,244.4,Partly Cloudy,10.3,0.84,Germination,0.3,1.87
Groundnut,26.9,62.8,51.4,Red Soil,6.1,23.4,7.1,233.6,Sunny,7.2,1.29,Vegetative,0.75,2.01
Groundnut,29.2,68.8,51.3,Sandy Loam,6.4,25.6,11.8,218.6,Partly Cloudy,19.4,1.68,Flowering,1.05,3.62
Groundnut,23.4,73.8,56.2,Sandy Loam,6,26.1,6.3,215.5,Sunny,15.8,0.99,Fruiting,0.7,2.57
Groundnut,25.5,74.8,62.2,Sandy Loam,6.7,25.7,5.1,237.8,Sunny,14.7,0.9,Germination,0.3,2.37
Groundnut,29.5,74.4,58.6,Sandy Loam,6.5,20.3,11.7,241.9,Sunny,15.2,1.6,Vegetative,0.75,3.12
Groundnut,23.7,70.6,62.2,Sandy Loam,6.6,22.2,11.1,269.6,Partly Cloudy,13.9,1.57,Flowering,1.05,2.96
Groundnut,27.6,68.6,66.2,Sandy Loam,5.9,29,3.3,225,Partly Cloudy,15,0.82,Fruiting,0.7,2.32
Groundnut,24.4,69.3,54.8,Sandy Loam,5.9,26.5,8,222,Partly Cloudy,10.3,1.24,Germination,0.3,2.27
Groundnut,29.5,60.7,51.6,Sandy Loam,6,27,4.5,204.2,Sunny,13.5,1.06,Vegetative,0.75,2.41
Groundnut,24.2,63.7,76.1,Red Soil,6.3,22.8,8.8,226.6,Partly Cloudy,9.5,1.41,Flowering,1.05,2.36
Groundnut,27,67.1,75.6,Red Soil,5.9,22,11,238.1,Sunny,14.5,1.62,Fruiting,0.7,3.07
Groundnut,23.9,65.1,54.7,Sandy Loam,6.6,28.2,7,215.8,Partly Cloudy,15.1,1.19,Germination,0.3,2.7
Groundnut,25.7,69.4,78.4,Red Soil,6.7,24.6,9.2,261.1,Partly Cloudy,18.4,1.41,Vegetative,0.75,3.25
Groundnut,23.3,60.2,71.9,Sandy Loam,6.2,28.7,7.6,229.5,Partly Cloudy,18.9,1.33,Flowering,1.05,3.22
Groundnut,22.8,72.7,50.4,Sandy Loam,5.9,20.2,3.3,252.1,Partly Cloudy,6.9,0.73,Fruiting,0.7,1.42
Groundnut,25.3,71.1,70,Red Soil,6,29.2,4.7,203.1,Sunny,11.7,0.88,Germination,0.3,2.05
Groundnut,26.6,71.1,57.1,Sandy Loam,6.7,22.8,9,239.3,Partly Cloudy,10.6,1.36,Vegetative,0.75,2.42
Groundnut,29.1,63.1,43.5,Sandy Loam,6.5,25.5,3.7,235.3,Sunny,12.7,0.98,Flowering,1.05,2.25
Groundnut,29,65.6,43.4,Sandy Loam,6.7,27.7,8.5,202.5,Sunny,16.7,1.38,Fruiting,0.7,3.05
Groundnut,25.7,63.5,59.9,Red Soil,6.6,24.5,6.2,223.6,Partly Cloudy,12.7,1.17,Germination,0.3,2.44
Groundnut,23.1,73.4,52.6,Red Soil,6,27.2,6,250,Sunny,19.3,1,Vegetative,0.75,2.93
Groundnut,27.1,67.2,73.3,Red Soil,6.7,20.7,6,262.4,Sunny,15.4,1.15,Flowering,1.05,2.69
Groundnut,22.1,66.6,49.2,Red Soil,6.3,21.9,10.8,251.8,Partly Cloudy,14.4,1.57,Fruiting,0.7,3.01
Groundnut,26.2,73.7,64.3,Sandy Loam,6.8,20.2,11.6,213.8,Partly Cloudy,9.7,1.55,Germination,0.3,2.52
Groundnut,23.7,70.7,53.7,Sandy Loam,6.5,26.3,7.4,223.4,Partly Cloudy,15.8,1.16,Vegetative,0.75,2.74
Groundnut,27.2,68.9,65.8,Red Soil,5.9,23.1,11.1,209.3,Sunny,11.4,1.58,Flowering,1.05,2.72
Groundnut,28.3,62.4,62,Sandy Loam,6,24.4,11.3,249,Sunny,16.4,1.76,Fruiting,0.7,3.4
Groundnut,23.7,60.2,52,Sandy Loam,6.8,29.2,10.1,220.7,Partly Cloudy,6.2,1.57,Germination,0.3,2.19
Groundnut,23.6,60.7,48.5,Sandy Loam,6.5,23.3,10.8,200.6,Sunny,16.8,1.61,Vegetative,0.75,3.29
Groundnut,28.7,66.2,62.7,Red Soil,5.9,29.9,10.4,250.1,Sunny,7.7,1.61,Flowering,1.05,2.38
Groundnut,26.1,73.6,47,Sandy Loam,5.9,22.5,5.5,269.8,Partly Cloudy,8.7,0.99,Fruiting,0.7,1.86
Groundnut,25.8,62.9,50.3,Red Soil,5.8,23.2,8.6,214.5,Partly Cloudy,7.4,1.4,Germination,0.3,2.14
Groundnut,29.2,73.2,66.9,Sandy Loam,6.7,28.1,5.3,235.1,Sunny,7.3,0.97,Vegetative,0.75,1.7
Groundnut,22.4,60.5,57.2,Red Soil,6.7,20,3.7,256,Sunny,17.2,0.95,Flowering,1.05,2.67
Groundnut,28,74.2,63.7,Sandy Loam,6.5,25.7,4.6,205.1,Sunny,7.5,0.85,Fruiting,0.7,1.6
Groundnut,24,74.5,68.2,Sandy Loam,6.7,25.3,7.3,247.9,Sunny,14.5,1.12,Germination,0.3,2.57
Groundnut,23.8,64.7,62.2,Sandy Loam,6.1,20.4,9.3,205.9,Partly Cloudy,13.3,1.41,Vegetative,0.75,2.74
Groundnut,26.5,70.5,74.6,Sandy Loam,6.2,27.9,9.5,213.1,Partly Cloudy,13.7,1.39,Flowering,1.05,2.76
Groundnut,25.8,72.7,65.8,Red Soil,6.6,29.3,7.1,242.2,Partly Cloudy,10.6,1.14,Fruiting,0.7,2.2
Groundnut,24.9,68.8,46.8,Red Soil,6.5,26.8,4.4,262,Sunny,7.5,0.94,Germination,0.3,1.69
Groundnut,28.1,60.6,72.4,Sandy Loam,6.6,27,5.6,232,Sunny,15.7,1.19,Vegetative,0.75,2.76
Groundnut,22.1,63,52.2,Sandy Loam,6.6,20.1,10,223.8,Partly Cloudy,13.9,1.51,Flowering,1.05,2.9
Groundnut,29.1,68.3,50.5,Sandy Loam,5.9,24.3,6.6,251.4,Partly Cloudy,9.4,1.2,Fruiting,0.7,2.14
Groundnut,22.5,63.6,60.4,Sandy Loam,6.3,27.6,6.2,203.3,Sunny,11.2,1.1,Germination,0.3,2.22
Groundnut,24.9,62.9,57.1,Sandy Loam,5.9,21.2,10.4,210.2,Partly Cloudy,11,1.57,Vegetative,0.75,2.67
Groundnut,27.1,69.6,73,Sandy Loam,6.2,29,3.7,218.7,Partly Cloudy,18.7,0.83,Flowering,1.05,2.7
Groundnut,26.8,60.3,49.6,Sandy Loam,6.7,29.9,6.6,267,Sunny,7.6,1.33,Fruiting,0.7,2.09
Groundnut,23.3,71.6,51.7,Red Soil,6.2,29.2,10.8,206.3,Partly Cloudy,7.7,1.47,Germination,0.3,2.24
Groundnut,28.8,74.3,73.5,Sandy Loam,6.1,29.9,10.9,233,Partly Cloudy,7.2,1.51,Vegetative,0.75,2.23
Groundnut,26.5,73.5,74.7,Sandy Loam,6.7,24.8,6.5,236.5,Sunny,5.9,1.07,Flowering,1.05,1.66
Groundnut,26.9,71.8,70.5,Sandy Loam,6.6,26.8,9.3,220.5,Sunny,11.5,1.36,Fruiting,0.7,2.51
Groundnut,23.9,60.5,79.6,Sandy Loam,6,26.1,7.9,262.5,Partly Cloudy,8.6,1.4,Germination,0.3,2.26
Groundnut,29.6,71.9,61.6,Sandy Loam,5.8,26.8,9.4,261.9,Sunny,8.8,1.44,Vegetative,0.75,2.32
Groundnut,25.7,62.4,55.4,Red Soil,6.1,24.7,3.3,227.2,Sunny,6.3,0.9,Flowering,1.05,1.53
Groundnut,28.7,73.5,74.9,Sandy Loam,6.4,23.1,8.6,210.5,Sunny,17.2,1.27,Fruiting,0.7,2.99
Groundnut,22.4,62.6,52.6,Red Soil,6,28,11.1,200.4,Partly Cloudy,7.9,1.6,Germination,0.3,2.39
Groundnut,25.8,62.9,50.5,Sandy Loam,6.8,24,9.7,254.9,Sunny,19.6,1.56,Vegetative,0.75,3.52
Groundnut,25.1,73.2,73.6,Red Soil,6.5,24.7,10.5,206.4,Sunny,6.2,1.43,Flowering,1.05,2.05
Groundnut,23.4,69.2,42.3,Sandy Loam,6.1,23.4,5.5,203.5,Sunny,10.2,0.97,Fruiting,0.7,1.99
Groundnut,22.5,72.3,78.5,Red Soil,5.9,21.2,3.5,261.5,Partly Cloudy,15.3,0.77,Germination,0.3,2.3
Groundnut,24.4,71.8,62.8,Sandy Loam,6.7,28.6,3.6,251.5,Sunny,14.8,0.79,Vegetative,0.75,2.27
Groundnut,23,70,68.3,Red Soil,5.9,27.8,8,248,Partly Cloudy,16.8,1.24,Flowering,1.05,2.92
Groundnut,24.5,71.4,46.2,Sandy Loam,6.1,28.7,9.8,214.1,Sunny,12.1,1.39,Fruiting,0.7,2.6
Groundnut,29.1,69.7,76.7,Red Soil,6.7,27.9,3.4,252.4,Partly Cloudy,13.9,0.86,Germination,0.3,2.25
Groundnut,25.9,69.8,66.2,Red Soil,5.9,29,5.6,204.5,Partly Cloudy,18.5,0.99,Vegetative,0.75,2.84
Groundnut,24.1,62.7,48.5,Red Soil,6.5,28.4,7.5,253.9,Partly Cloudy,14.5,1.32,Flowering,1.05,2.77
Groundnut,29.4,62,53.4,Red Soil,6.4,21,3.2,236.2,Partly Cloudy,17.9,0.95,Fruiting,0.7,2.74
Groundnut,23.5,71.7,63.2,Red Soil,6.2,23.3,6.4,230.6,Sunny,11.1,1.05,Germination,0.3,2.16
Groundnut,28,71.7,51.8,Sandy Loam,6.8,28.7,8.3,205.5,Sunny,13.3,1.26,Vegetative,0.75,2.59
Groundnut,25.4,62.1,74.7,Sandy Loam,6.5,26.3,10.3,207.7,Partly Cloudy,7.4,1.57,Flowering,1.05,2.31
Groundnut,26,72.8,71.1,Sandy Loam,6,21.1,6.1,205.6,Sunny,5.9,1,Fruiting,0.7,1.59
Groundnut,25.3,72.8,66.9,Sandy Loam,5.9,29.3,4.1,211.8,Partly Cloudy,16.4,0.8,Germination,0.3,2.44
Groundnut,29.7,72.5,64.4,Sandy Loam,6.6,20.1,4.1,208.4,Sunny,10.6,0.84,Vegetative,0.75,1.9
Groundnut,28,63.4,54.4,Sandy Loam,6.5,22.1,9.8,215.5,Sunny,14.1,1.55,Flowering,1.05,2.96
Groundnut,27.6,60.2,47.2,Sandy Loam,5.8,22.7,12,214.6,Partly Cloudy,7.6,1.81,Fruiting,0.7,2.57
Groundnut,28.6,73.3,66.5,Red Soil,6.4,22.2,11.2,214.5,Sunny,9.4,1.54,Germination,0.3,2.48
Groundnut,29.7,72.1,78.4,Red Soil,6.7,25.7,8.9,252.8,Partly Cloudy,16.3,1.37,Vegetative,0.75,3
Groundnut,23.8,74.7,71.1,Red Soil,6.7,20.4,10.9,224.5,Sunny,12.5,1.45,Flowering,1.05,2.7
Groundnut,25.1,62.1,69.5,Red Soil,5.9,29.2,6,258.5,Partly Cloudy,13.7,1.2,Fruiting,0.7,2.57
Groundnut,22.6,63.6,46.5,Red Soil,6.2,28.4,11.5,222,Sunny,8.2,1.65,Germination,0.3,2.47
Groundnut,26.1,68.5,59.6,Red Soil,6,21.9,4.1,224.6,Partly Cloudy,8.7,0.89,Vegetative,0.75,1.76
Groundnut,25.3,73.3,66.3,Sandy Loam,6.6,26,11.6,226.2,Partly Cloudy,15.3,1.56,Flowering,1.05,3.09
Groundnut,28.2,75,59.4,Sandy Loam,6.1,22.7,8.1,209,Partly Cloudy,16,1.19,Fruiting,0.7,2.79
Groundnut,25,70.9,56.6,Red Soil,5.8,25.3,9.2,203.4,Sunny,12.4,1.33,Germination,0.3,2.57
Groundnut,25.9,69.8,51.4,Red Soil,6.3,21.6,4.3,257.7,Partly Cloudy,6.3,0.92,Vegetative,0.75,1.55
Groundnut,29.3,64.5,75.8,Red Soil,6.1,24.8,5.4,227.8,Partly Cloudy,12.9,1.12,Flowering,1.05,2.41
Groundnut,22.7,68,49.8,Red Soil,6.1,27.5,4.5,240.3,Partly Cloudy,10.9,0.91,Fruiting,0.7,2
Groundnut,28.7,60.6,55,Sandy Loam,5.8,26,8.8,225.5,Sunny,11.5,1.51,Germination,0.3,2.66
Groundnut,26.1,70.3,41,Red Soil,6.7,23.4,9.9,259.4,Sunny,11.7,1.47,Vegetative,0.75,2.64
Groundnut,26,62.2,51,Red Soil,5.8,24.3,3.6,224.5,Partly Cloudy,7.4,0.93,Flowering,1.05,1.67
Groundnut,24.7,69.2,54.1,Sandy Loam,6.6,20.5,9.2,258,Partly Cloudy,9.9,1.4,Fruiting,0.7,2.39
Groundnut,29.6,73.3,66.5,Red Soil,6.7,22.3,11.3,229.8,Sunny,16.7,1.57,Germination,0.3,3.24
Groundnut,25.1,67.2,75.6,Red Soil,6.3,21.2,7.1,227.5,Sunny,19.4,1.2,Vegetative,0.75,3.14
Groundnut,29.6,72.2,51.6,Red Soil,5.9,25.5,10,230.3,Partly Cloudy,6.8,1.46,Flowering,1.05,2.14
Groundnut,25,74.3,58.3,Sandy Loam,5.8,24.1,3.6,203.1,Partly Cloudy,8.5,0.72,Fruiting,0.7,1.57
Groundnut,24.4,71.5,71.6,Red Soil,6.5,27.5,8.7,204,Sunny,9.4,1.27,Germination,0.3,2.21
Groundnut,26.7,71.2,55.9,Sandy Loam,6,27.1,10,204.4,Partly Cloudy,16.8,1.42,Vegetative,0.75,3.1
Groundnut,24.4,63.4,66.7,Red Soil,6.6,21.4,7.9,249.7,Partly Cloudy,11.9,1.35,Flowering,1.05,2.54
Groundnut,29.1,70.7,76.2,Red Soil,6.5,25.2,5.3,212,Sunny,16.5,0.99,Fruiting,0.7,2.64
Groundnut,23.6,63.2,70.2,Sandy Loam,6.6,25.8,11.5,244.2,Partly Cloudy,19.6,1.7,Germination,0.3,3.66
Groundnut,28.3,68,66.7,Red Soil,6.4,20.2,7.9,238.9,Sunny,19.6,1.31,Vegetative,0.75,3.27
Groundnut,25.2,72.6,61.2,Red Soil,6,23.2,3.3,227.7,Sunny,17.5,0.74,Flowering,1.05,2.49
Groundnut,26.3,65.5,70.8,Sandy Loam,6.4,27.3,5.6,269.9,Partly Cloudy,5.4,1.13,Fruiting,0.7,1.67
Groundnut,27.9,66.5,53.9,Sandy Loam,5.9,20.5,3,207.1,Sunny,5,0.81,Germination,0.3,1.31
Groundnut,25.8,71.7,75.4,Sandy Loam,6.7,25.8,10.3,204,Partly Cloudy,13.7,1.44,Vegetative,0.75,2.81
Groundnut,28.5,71.7,67,Sandy Loam,6.8,30,3.1,249.2,Partly Cloudy,11.4,0.79,Flowering,1.05,1.93
Groundnut,29.1,64,41.6,Sandy Loam,6.1,23.3,9.7,245.5,Partly Cloudy,12.1,1.58,Fruiting,0.7,2.79
Groundnut,29.4,68.6,63.1,Red Soil,5.9,24.7,6.1,234.7,Partly Cloudy,17.6,1.13,Germination,0.3,2.89
Groundnut,28.2,74.8,46.4,Sandy Loam,5.9,29.2,11.7,214,Partly Cloudy,12.7,1.56,Vegetative,0.75,2.83
Groundnut,23.8,71.1,63.2,Red Soil,6,22.7,4.4,238.3,Partly Cloudy,13.1,0.87,Flowering,1.05,2.18
Groundnut,25.3,66,54.6,Red Soil,6.8,28.8,6,220.8,Sunny,18.2,1.1,Fruiting,0.7,2.92
Groundnut,23.2,73.5,71.9,Sandy Loam,5.8,29.9,6.2,268.3,Partly Cloudy,12.8,1.03,Germination,0.3,2.31
Groundnut,28.9,64.5,46.3,Red Soil,6,23.7,3.1,248.1,Partly Cloudy,13.7,0.91,Vegetative,0.75,2.28
Groundnut,24.3,73.8,55.9,Red Soil,6.6,20.7,8.6,248.7,Partly Cloudy,11.1,1.26,Flowering,1.05,2.37
Groundnut,23.6,64.3,56.7,Sandy Loam,6.4,22.2,9.1,234.6,Partly Cloudy,18.1,1.43,Fruiting,0.7,3.24
Groundnut,28.5,65.9,55,Red Soil,6.6,20.3,8.4,213.4,Sunny,16.5,1.37,Germination,0.3,3.02
Groundnut,23.9,63.9,57.8,Sandy Loam,6.8,28,3.1,221.7,Partly Cloudy,6.5,0.83,Vegetative,0.75,1.48
Groundnut,28.3,70,66.8,Sandy Loam,6.1,22.2,9.4,217.8,Partly Cloudy,9,1.41,Flowering,1.05,2.31
Groundnut,27,66.8,61.9,Sandy Loam,6,25.3,9,240.1,Partly Cloudy,6.8,1.43,Fruiting,0.7,2.11
Groundnut,29,72.6,42.8,Red Soil,6.8,24.5,8.3,220.3,Sunny,14.4,1.27,Germination,0.3,2.71
Groundnut,25.5,63.1,58.6,Sandy Loam,6,20.3,7.8,240.5,Partly Cloudy,7.1,1.35,Vegetative,0.75,2.06
Groundnut,26.9,68,69.6,Sandy Loam,6,25.8,11.8,214.6,Sunny,7.2,1.66,Flowering,1.05,2.38
Groundnut,24.9,74.1,78,Sandy Loam,6.6,23.2,9.5,265.1,Partly Cloudy,19.4,1.36,Fruiting,0.7,3.3
Groundnut,23.7,68.9,43.1,Sandy Loam,6.4,26.5,10.2,241.1,Partly Cloudy,15.5,1.48,Germination,0.3,3.03
Groundnut,28.6,72.3,56.1,Red Soil,6.7,24.7,5.5,238.9,Partly Cloudy,10.8,1.01,Vegetative,0.75,2.09
Groundnut,29.2,73.3,70.1,Red Soil,6.3,23.4,11.4,246.4,Partly Cloudy,5.7,1.59,Flowering,1.05,2.16
Groundnut,22.4,69,58.5,Sandy Loam,6.2,24.4,9.7,244.2,Partly Cloudy,17.6,1.42,Fruiting,0.7,3.18
Groundnut,29.8,67.8,78.1,Sandy Loam,6.8,21.7,7.1,206,Sunny,5.6,1.22,Germination,0.3,1.78
Groundnut,26.1,70.5,53.7,Sandy Loam,6.6,28.5,4.4,210.1,Sunny,6.5,0.87,Vegetative,0.75,1.52
Groundnut,29.8,65.3,69.4,Sandy Loam,5.9,24.2,10.4,205,Sunny,8.7,1.58,Flowering,1.05,2.45
Groundnut,29.2,69.1,78.7,Sandy Loam,6,20.4,3.6,261.6,Partly Cloudy,11.1,0.9,Fruiting,0.7,2.01
Groundnut,29.1,60.9,73.2,Red Soil,6.4,24.6,8.7,202,Sunny,14.9,1.47,Germination,0.3,2.96
Groundnut,22.9,61.3,41.2,Sandy Loam,6,25,4.3,263.1,Partly Cloudy,12.1,1.02,Vegetative,0.75,2.23
Groundnut,27.4,71.3,73.8,Sandy Loam,5.8,21.9,8.9,213.9,Partly Cloudy,5.1,1.33,Flowering,1.05,1.84
Groundnut,23,63.5,67.1,Red Soil,6.4,28.6,10.9,260.8,Sunny,14.2,1.64,Fruiting,0.7,3.06
Groundnut,23.1,60.5,71,Sandy Loam,5.8,21.6,7.1,269.2,Sunny,14.7,1.32,Germination,0.3,2.79
Groundnut,29,66.4,79.7,Red Soil,5.9,21.5,11.7,225.8,Partly Cloudy,16.3,1.71,Vegetative,0.75,3.34
Groundnut,27,60.1,66.9,Red Soil,6.1,29.9,3.5,213.2,Partly Cloudy,7.9,0.95,Flowering,1.05,1.74
Groundnut,29.5,68.7,56.7,Sandy Loam,6.4,28.2,5,222.5,Partly Cloudy,17.9,1.01,Fruiting,0.7,2.8
Groundnut,28.7,68.7,51.1,Red Soil,6.7,20.2,10.5,256.6,Partly Cloudy,16.4,1.59,Germination,0.3,3.23
Groundnut,29.5,69.9,78.4,Sandy Loam,5.8,26.8,11.7,236.2,Partly Cloudy,10.3,1.67,Vegetative,0.75,2.7
Groundnut,26.9,68.8,57.1,Sandy Loam,6.2,25.1,3,238.2,Sunny,7.3,0.8,Flowering,1.05,1.53
Groundnut,27.9,73.8,73.5,Sandy Loam,6.3,29.8,10.4,202.5,Partly Cloudy,16.2,1.43,Fruiting,0.7,3.05
Groundnut,27.7,60.7,63.8,Sandy Loam,5.8,20.4,9.2,200.4,Sunny,15.8,1.5,Germination,0.3,3.08
Groundnut,25.1,69,63,Sandy Loam,6,28.1,4.6,210.4,Sunny,8.5,0.9,Vegetative,0.75,1.75
Groundnut,27.3,73.2,78.3,Red Soil,6.5,21.5,3.5,232,Sunny,6,0.77,Flowering,1.05,1.37
Groundnut,28.1,69.5,46.3,Sandy Loam,6.7,28,7,255,Partly Cloudy,13.5,1.21,Fruiting,0.7,2.56
Groundnut,28.6,71.4,78.7,Red Soil,6.3,26.8,4.4,246.7,Partly Cloudy,8.2,0.92,Germination,0.3,1.74
Groundnut,24.4,64.5,58.3,Red Soil,6.6,21.3,6,219.9,Partly Cloudy,6.9,1.11,Vegetative,0.75,1.8
Groundnut,22.4,60.8,67,Sandy Loam,5.8,22.2,11.6,255.9,Sunny,5.4,1.74,Flowering,1.05,2.28
Groundnut,26.9,63.8,66.4,Sandy Loam,6.8,20,6.7,241.9,Partly Cloudy,12.9,1.25,Fruiting,0.7,2.54
Groundnut,23.5,69.1,58.6,Sandy Loam,6.6,22.7,7.3,215.4,Partly Cloudy,6.7,1.16,Germination,0.3,1.83
Groundnut,27,61,52.1,Sandy Loam,6.8,29.5,8.8,220.8,Partly Cloudy,10.4,1.48,Vegetative,0.75,2.52
Groundnut,23.3,72.3,62.1,Sandy Loam,6,25.3,7.3,245.2,Sunny,5.5,1.14,Flowering,1.05,1.69
Groundnut,24.1,73.5,59,Red Soil,6,23.8,5,215.1,Partly Cloudy,13.7,0.87,Fruiting,0.7,2.24
Groundnut,24.6,62.5,41.3,Red Soil,6.4,25.3,3.4,200.7,Partly Cloudy,10.3,0.86,Germination,0.3,1.89
Groundnut,24.4,72.6,51.4,Sandy Loam,6.4,27.8,8.9,262.3,Sunny,5.4,1.32,Vegetative,0.75,1.86
Groundnut,25.2,74.8,40.6,Sandy Loam,5.8,27.5,8,214,Partly Cloudy,6.8,1.16,Flowering,1.05,1.84
Groundnut,27.9,71.4,46.8,Red Soil,6.6,24.9,4.6,208.9,Sunny,13.2,0.89,Fruiting,0.7,2.21
